model,task,cohort,metric,n,n_positive,ours,baseline,difference,p_raw,test,delong_variance,p_holm105,p_holm3780,p_holm19_conditional,p_holm684_conditional,significant_raw,significant_holm105,significant_holm3780,significant_holm19_conditional,significant_holm684_conditional
Gradient boosting,1p/19q,Development OOF,roc_auc,571,90,0.85162855162855167,0.74197274197274199,0.10965580965580968,9.9505108434130127e-05,paired DeLong,0.00086878929946457284,0.0055722860723112872,0.17184532226574273,0.00039802043373652051,0.026468358843478614,True,True,False,True,True
Gradient boosting,Grade,UCSF,accuracy,495,396,0.87272727272727268,0.68686868686868685,0.18585858585858583,5.5572037466620202e-13,exact McNemar,,4.4457629973296163e-11,1.6443765886372919e-09,5.5572037466620204e-12,2.9342035782375466e-10,True,True,True,True,True
Gradient boosting,Grade,UCSF,f1,495,396,0.91520861372812923,0.78321678321678323,0.131991830511346,3.0609267810291306e-12,exact paired swap,,2.3569136213924307e-10,8.8583221042983042e-09,2.7548341029262176e-11,1.5886209993541187e-09,True,True,True,True,True
Gradient boosting,Grade,UCSF,mcc,495,396,0.68838120352133136,0.26166161288584583,0.42671959063548554,8.4263513027168929e-15,exact paired swap,,7.4994526594180345e-13,2.6197526200146819e-11,1.0954256693531961e-13,4.6766249730078756e-12,True,True,True,True,True
Gradient boosting,Grade,UCSF,roc_auc,495,396,0.95464748495051532,0.70296398326701348,0.25168350168350184,9.3629979764793497e-16,paired DeLong,0.0010023732011196663,8.7075881181257955e-14,2.9877326542945603e-12,1.7789696155310765e-14,5.299456854687312e-13,True,True,True,True,True
Gradient boosting,IDH,UCSF,accuracy,495,103,0.92525252525252522,0.75151515151515147,0.17373737373737375,1.226070973253022e-15,exact McNemar,,8.0920684234699448e-14,3.9001317659178631e-12,1.4712851679036263e-14,6.9273009988795739e-13,True,True,True,True,True
Gradient boosting,IDH,UCSF,f1,495,103,0.82790697674418601,0.4434389140271493,0.38446806271703671,4.5925807950598921e-16,exact paired swap,,3.4444355962949192e-14,1.4769739836912614e-12,6.4296131130838492e-15,2.6131784723890788e-13,True,True,True,True,True
Gradient boosting,IDH,UCSF,mcc,495,103,0.78138872056826103,0.28552749574970782,0.49586122481855321,2.4926940554003368e-16,exact paired swap,,1.894447482104256e-14,8.0638652692200896e-13,3.4897716775604717e-15,1.4283136937443929e-13,True,True,True,True,True
Gradient boosting,IDH,UCSF,roc_auc,495,103,0.95321478105805435,0.75346740638002774,0.19974737467802661,2.0520741844066892e-13,paired DeLong,0.00075864187280995485,1.7237423149016189e-11,6.1726391466953211e-10,3.078111276610034e-12,1.095807614473172e-10,True,True,True,True,True
Gradient boosting,1p/19q,UCSF,accuracy,404,15,0.84653465346534651,0.84653465346534651,0,0.5428941814587751,exact McNemar,,1,1,1,1,False,False,False,False,False
Gradient boosting,1p/19q,UCSF,f1,404,15,0.26190476190476192,0.16216216216216217,0.099742599742599747,0.063469093876472524,exact paired swap,,1,1,0.12693818775294505,1,False,False,False,False,False
Gradient boosting,1p/19q,UCSF,mcc,404,15,0.2935348174107989,0.14121558721282146,0.15231923019797744,0.050782588100257403,exact paired swap,,1,1,0.23186166808231071,1,False,False,False,False,False
Gradient boosting,1p/19q,UCSF,roc_auc,404,15,0.92476435304198801,0.60856898029134532,0.31619537275064269,9.0581263399480984e-05,paired DeLong,0.0071327180917669141,0.008695801286350174,0.15763183088060589,0.0015398814777911767,0.024366359854460385,True,True,False,True,True
Gradient boosting,Grade,Xijing,accuracy,92,73,0.89130434782608692,0.70652173913043481,0.18478260869565211,0.00075685977935791016,exact McNemar,,0.04692530632019043,1,0.0090823173522949219,0.1669595250890186,True,True,False,True,False
Gradient boosting,Grade,Xijing,f1,92,73,0.9285714285714286,0.8029197080291971,0.1256517205422315,0.00076004117727279511,exact paired swap,,0.045602470636367708,1,0.0083604529500007456,0.1669595250890186,True,True,False,True,False
Gradient boosting,Grade,Xijing,mcc,92,73,0.71446711393530837,0.24610729802738918,0.4683598159079192,0.00017283856868743788,exact paired swap,,0.010715991258621148,0.28708486258983434,0.0022469013929366927,0.044246673583984097,True,True,False,True,True
Gradient boosting,Grade,Xijing,roc_auc,92,73,0.92285508291276142,0.66762797404470076,0.25522710886806066,0.0001110128817522735,paired DeLong,0.0047775284408424872,0.0077709017226591454,0.1910531694956627,0.0017762061080363761,0.029085375019095659,True,True,False,True,True
Gradient boosting,IDH,Xijing,accuracy,105,17,0.92380952380952386,0.68571428571428572,0.23809523809523814,8.1211328506469727e-07,exact McNemar,,3.8169324398040771e-05,0.0018020793795585632,8.9332461357116699e-06,0.00030779093503952026,True,True,True,True,True
Gradient boosting,IDH,Xijing,f1,105,17,0.80952380952380953,0.45901639344262296,0.35050741608118657,6.6123902797698975e-07,exact paired swap,,3.1078234314918518e-05,0.0014791917055845261,7.2736293077468872e-06,0.00025193206965923309,True,True,True,True,True
Gradient boosting,IDH,Xijing,mcc,105,17,0.78624539310689645,0.36031317706334598,0.42593221604355047,6.5565109252929688e-07,exact paired swap,,3.0815601348876953e-05,0.001468658447265625,7.2121620178222656e-06,0.00025045871734619141,True,True,True,True,True
Gradient boosting,IDH,Xijing,roc_auc,105,17,0.98195187165775411,0.8529411764705882,0.1290106951871659,0.010441200346964781,paired DeLong,0.003118806218718189,0.58720317560503432,1,0.14617680485750695,1,True,False,False,False,False
Gradient boosting,1p/19q,Xijing,accuracy,59,5,0.88135593220338981,0.79661016949152541,0.084745762711864403,0.15087890624999997,exact McNemar,,1,1,0.4375,1,False,False,False,False,False
Gradient boosting,1p/19q,Xijing,f1,59,5,0.46153846153846156,0.33333333333333331,0.12820512820512825,0.28338623046875017,exact paired swap,,1,1,1,1,False,False,False,False,False
Gradient boosting,1p/19q,Xijing,mcc,59,5,0.41277045446049859,0.27873117693472471,0.13403927752577388,0.30520629882812522,exact paired swap,,1,1,1,1,False,False,False,False,False
