model,task,metric,n,n_positive,ours,baseline,difference,p_raw,test,alternative,delong_variance,test_status,p_holm91,p_holm910,p_holm19_conditional,p_holm190_conditional,significant_raw,significant_holm91,significant_holm910,significant_holm19_conditional,significant_holm190_conditional,numerically_higher
ResNet10 3D,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.037656046815655861,0.62213331846374131,0.00390625,exact patient swap of medians,greater,,OK,,,0.05859375,0.515625,True,False,False,False,False,True
ResNet10 3D,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.10000000000000001,0.59999999999999998,0.015625,exact McNemar,greater,,OK,,,0.1875,1,True,False,False,False,False,True
ResNet10 3D,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.24531249999999999,0.60468750000000004,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
ResNet18 2.5D,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.38095238095238093,0.47619047619047616,0.03394457743091453,paired DeLong (small sample),greater,,OK,,,0.40733492917097436,1,True,False,False,False,False,True
ResNet18 2.5D,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.40000000000000002,0.40000000000000002,0.109375,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
ResNet18 2.5D,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.068428166844140756,0.59136119843525636,0.0078125,exact patient swap of medians,greater,,OK,,,0.0703125,0.9140625,True,False,False,False,False,True
ResNet18 2.5D,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.10000000000000001,0.59999999999999998,0.03515625,exact McNemar,greater,,OK,,,0.31640625,1,True,False,False,False,False,True
ResNet18 2.5D,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.19062499999999999,0.65937500000000004,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
ResNet18 3D,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.52380952380952395,0.33333333333333315,0.092938366182938048,paired DeLong (small sample),greater,,OK,,,0.64112150326591366,1,False,False,False,False,False,True
ResNet18 3D,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.59999999999999998,0.20000000000000007,0.3125,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
ResNet18 3D,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.18868399050754492,0.47110537477185221,0.001953125,exact patient swap of medians,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
ResNet18 3D,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.40000000000000002,0.29999999999999993,0.2265625,exact McNemar,greater,,OK,,,0.5625,1,False,False,False,False,False,True
ResNet18 3D,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.29375000000000001,0.55624999999999991,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
Swin-S,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.14285714285714288,0.71428571428571419,0.00017935647071988826,paired DeLong (small sample),greater,,OK,,,0.003407772943677877,0.032463521200299772,True,False,False,True,True,True
Swin-S,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.29999999999999999,0.5,0.03125,exact McNemar,greater,,OK,,,0.46875,1,True,False,False,False,False,True
Swin-S,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.0076272160540806003,0.65216214922531657,0.0048828125,exact patient swap of medians,greater,,OK,,,0.05859375,0.5859375,True,False,False,False,False,True
Swin-S,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.10000000000000001,0.59999999999999998,0.015625,exact McNemar,greater,,OK,,,0.1875,1,True,False,False,False,False,True
Swin-S,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.125,0.72499999999999998,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
